product_name,price,image_name,integration_date,supermarket
ROI DE TREFLE Francia sajtválogatás,1 199,csm_KW44_inyencek_kicsi_05_a7c09e2ca1.jpg,2021-11-11 15:35:48.723772,aldi
GOURMET Joghurt à la crème,499,csm_KW44_inyencek_kicsi_06_8b621a19fb.jpg,2021-11-11 15:35:48.723772,aldi
GERBEAUD Vaníliás kifli,2 399,csm_KW44_inyencek_kicsi_08_b1a792ad44.jpg,2021-11-11 15:35:48.723772,aldi
GERBEAUD Mákos bejgli,1 999,csm_KW44_inyencek_kicsi_09_254b068bce.jpg,2021-11-11 15:35:48.723772,aldi
GERBEAUD Diós bejgli,2 299,csm_KW44_inyencek_kicsi_10_bb9c747447.jpg,2021-11-11 15:35:48.723772,aldi
GOURMET Firenzei mix,1 499,csm_KW44_inyencek_kicsi_13_727afc1256.jpg,2021-11-11 15:35:48.723772,aldi
GOURMET Desszertkocka,699,csm_KW44_inyencek_kicsi_14_1115316069.jpg,2021-11-11 15:35:48.723772,aldi
LOACKER Gran Patisserie,999,csm_KW44_inyencek_kicsi_16_f0fdb253b6.jpg,2021-11-11 15:35:48.723772,aldi
GOURMET Narancsszeletek étcsokoládéban,1 199,csm_KW44_inyencek_kicsi_17_248d3aa792.jpg,2021-11-11 15:35:48.723772,aldi
GOURMET Csokoládéba mártott gyümölcsök,999,csm_KW44_inyencek_kicsi_18_8caccf1f06.jpg,2021-11-11 15:35:48.723772,aldi
GOURMET Töltött datolya,1 299,csm_KW44_inyencek_kicsi_19_cace4962cd.jpg,2021-11-11 15:35:48.723772,aldi
HAPPY HARVEST Aszalt gyümölcsök fatálcán,1 799,csm_KW44_inyencek_kicsi_20_57b69c304a.jpg,2021-11-11 15:35:48.723772,aldi
SZEKSZÁRD Heimann SXRD,1 699,csm_KW44_inyencek_kicsi_21_87fba10d84.jpg,2021-11-11 15:35:48.723772,aldi
GOURMET Olasz sajtkülönlegesség,599,csm_KW44_inyencek_kicsi_01_5e07a7cdd2.jpg,2021-11-11 15:35:48.728931,aldi
GOURMET Olasz sajtválogatás,799,csm_KW44_inyencek_kicsi_02_6465b2a298.jpg,2021-11-11 15:35:48.728931,aldi
Nemzetközi sajtválogatás,919,csm_KW44_inyencek_kicsi_03_687eb017cd.jpg,2021-11-11 15:35:48.728931,aldi
