product_name,price,unit,unit_price,image_name,integration_date,supermarket
200 LED kül- és beltéri adapteres fényfüzér,2999,Ft/db,,200-led-kul-es-belteri-adapteres-fenyfuzer-2005100503517-1-5k.png,2021-11-11 15:36:06.260718,tesco
4Dent Herbal fogkrém 125 ml,199,Ft/db,1l=1592Ft,4dent-herbal-fogkrem-125-ml-2005107297924.png,2021-11-11 15:36:06.262263,tesco
4Dent Whitening fogkrém 125 ml,199,Ft/db,1l=1592Ft,4dent-whitening-fogkrem-125-ml-2005107297962.jpg,2021-11-11 15:36:06.263261,tesco
4MAX Lemon folyékony súrolószer 750 ml,299,Ft/db,1l=398.67Ft,4max-lemon-folyekony-suroloszer-750-ml-2004020291664.jpg,2021-11-11 15:36:06.264295,tesco
4MAX Pine WC illatosító rúd 3 x 40 g,449,Ft/db,1kg=3741.67Ft,4max-pine-wc-illatosito-rud-3-x-40-g-2004020202003.jpg,2021-11-11 15:36:06.264295,tesco
4MAX szemeteszsák 35 l 40 db,319,Ft/db,1db=7.98Ft,4max-szemeteszsak-35-l-40-db-2005100501263.png,2021-11-11 15:36:06.264295,tesco
4MAX szemeteszsák 60 l 26 db,359,Ft/db,1db=13.81Ft,4max-szemeteszsak-60-l-26-db-2005100501258.png,2021-11-11 15:36:06.266410,tesco
7 csoda párbaj társasjáték,6799,Ft,,7-csoda-parbaj-tarsasjatek-2005100611677-1-5k.png,2021-11-11 15:36:06.267459,tesco
7days croissant,149,Ft/db,1kg=1863Ft,7days-croissant-2004010623622-1-5k.png,2021-11-11 15:36:06.268443,tesco
A Mars terraformálása,10390,Ft,,a-mars-terraformalasa-2005100610686-1-5k.png,2021-11-11 15:36:06.268443,tesco
Acéllemez radiátor,9999,Ft/db,,acellemez-radiator-2004120653444-1-5k.png,2021-11-11 15:36:06.268443,tesco
Activity Casino társasjáték,6399,Ft,,activity-casino-tarsasjatek-2005100611096-1-5k.png,2021-11-11 15:36:06.268443,tesco
After Eight desszert fémdobozban,3299,Ft,1kg=8748Ft,after-eight-400g-femdoboz-2004020173363-1-5k.png,2021-11-11 15:36:06.268443,tesco
Air Wick Essential Oils gyertya,1399,Ft/db,1kg=13324Ft,air-wick-essential-oils-gyertya-2004120409118-1-5k.png,2021-11-11 15:36:06.268443,tesco
Álombaba delux készlet,5399,Ft/szett,,alombaba-delux-keszlet-2005100524336-1-5k.png,2021-11-11 15:36:06.268443,tesco
Always Platinum vagy Ultra egészségügyi betét,849,Ft/db,,,2021-11-11 15:36:06.268443,tesco
"Amulett Egri Cabernet Sauvignon, Egri Rozé vagy Hárslevelű Édes",1049,Ft/db,1l=1399Ft,amulett-felso-magyarorszagi-harslevelu-edes-feherbor-2004020305186-1-5k.png,2021-11-11 15:36:06.268443,tesco
Anma műfenyő,12590,Ft,,anma-mufenyo-2005100499596-1-5k.png,2021-11-11 15:36:06.277571,tesco
Apenta szénsavas üdítőital,179,Ft,1l=119Ft,apenta-szensavas-uditoital-izesitett-asvanyviz-2004120475885-1-5k.png,2021-11-11 15:36:06.278530,tesco
Apenta+ üdítőital,209,Ft/db,,,2021-11-11 15:36:06.279564,tesco
AquaWell ásványvíz,75,Ft,1l=50Ft,aquawell-asvanyviz-2004020314663-1-5k.png,2021-11-11 15:36:06.280331,tesco
Avokádó,249,Ft/db,,avokado-2004003261541-1-5k.png,2021-11-11 15:36:06.281367,tesco
Avouré Almond tusfürdő 1 l,599,Ft/db,1l=599Ft,avoure-almond-tusfurdo-1-l-2005107282272.jpg,2021-11-11 15:36:06.281952,tesco
Avouré Citrus tusfürdő 1 l,599,Ft/db,1l=599Ft,avoure-citrus-tusfurdo-1-l-2005107281848.jpg,2021-11-11 15:36:06.282952,tesco
Avoure For Men Regural borotvazselé 200 ml,599,Ft/db,1l=2995Ft,avoure-for-men-regural-borotvazsele-200-ml-2005107282517.png,2021-11-11 15:36:06.283949,tesco
Avouré for Men Sensitive borotvazselé 200 ml,599,Ft/db,1l=2995Ft,avoure-for-men-sensitive-borotvazsele-200-ml-2005107282494.png,2021-11-11 15:36:06.285348,tesco
Avouré Ocean tusfürdő 1 l,599,Ft/db,1l=599Ft,avoure-ocean-tusfurdo-1-l-2005107280339.jpg,2021-11-11 15:36:06.285348,tesco
Avouré Olive folyékony szappan 1 l,449,Ft/db,1l=449Ft,avoure-olive-folyekony-szappan-1-l-2005107280322.png,2021-11-11 15:36:06.285348,tesco
Avouré Olive tusfürdő 1 l,599,Ft/db,1l=599Ft,avoure-olive-tusfurdo-1-l-2005107282227.jpg,2021-11-11 15:36:06.285348,tesco
Avouré Violet tusfürdő 1 l,599,Ft/db,1l=599Ft,avoure-violet-tusfurdo-1-l-2005107282180.jpg,2021-11-11 15:36:06.285348,tesco
Azul társasjáték,11190,Ft,,azul-tarsasjatek-2005100611679-1-5k.png,2021-11-11 15:36:06.285348,tesco
